Date,Predicted_Cases,Lower_Bound,Upper_Bound
2020-12-15,581.0,501.0,672.0
2020-12-16,631.0,552.0,717.0
2020-12-17,668.0,578.0,756.0
2020-12-18,693.0,608.0,778.0
2020-12-19,686.0,602.0,775.0
2020-12-20,701.0,616.0,786.0
2020-12-21,674.0,586.0,760.0
2020-12-22,640.0,550.0,721.0
2020-12-23,690.0,609.0,779.0
2020-12-24,727.0,644.0,810.0
2020-12-25,752.0,664.0,843.0
2020-12-26,745.0,661.0,840.0
2020-12-27,760.0,674.0,846.0
2020-12-28,734.0,644.0,815.0
2020-12-29,700.0,613.0,780.0
2020-12-30,750.0,662.0,838.0
2020-12-31,786.0,701.0,874.0
2021-01-01,811.0,726.0,895.0
2021-01-02,804.0,714.0,894.0
2021-01-03,819.0,727.0,911.0
2021-01-04,793.0,701.0,877.0
2021-01-05,759.0,667.0,847.0
2021-01-06,809.0,721.0,904.0
2021-01-07,845.0,761.0,936.0
2021-01-08,870.0,784.0,955.0
2021-01-09,863.0,779.0,951.0
2021-01-10,878.0,791.0,966.0
2021-01-11,852.0,768.0,945.0
2021-01-12,818.0,730.0,901.0
2021-01-13,868.0,780.0,961.0
2021-01-14,904.0,816.0,991.0
2021-01-15,929.0,834.0,1016.0
2021-01-16,922.0,833.0,1013.0
2021-01-17,938.0,843.0,1029.0
2021-01-18,911.0,817.0,997.0
2021-01-19,877.0,782.0,964.0
2021-01-20,927.0,835.0,1015.0
2021-01-21,963.0,868.0,1049.0
2021-01-22,989.0,895.0,1074.0
2021-01-23,981.0,891.0,1069.0
2021-01-24,997.0,900.0,1083.0
2021-01-25,970.0,883.0,1067.0
2021-01-26,936.0,840.0,1029.0
2021-01-27,986.0,895.0,1081.0
2021-01-28,1022.0,931.0,1115.0
2021-01-29,1048.0,959.0,1136.0
2021-01-30,1040.0,947.0,1131.0
2021-01-31,1056.0,959.0,1147.0
2021-02-01,1029.0,943.0,1127.0
2021-02-02,995.0,899.0,1085.0
2021-02-03,1045.0,953.0,1140.0
2021-02-04,1082.0,987.0,1179.0
2021-02-05,1107.0,1007.0,1203.0
2021-02-06,1100.0,1006.0,1191.0
2021-02-07,1115.0,1018.0,1209.0
2021-02-08,1088.0,991.0,1182.0
2021-02-09,1054.0,963.0,1154.0
2021-02-10,1104.0,1005.0,1196.0
2021-02-11,1141.0,1041.0,1233.0
2021-02-12,1166.0,1067.0,1264.0
2021-02-13,1159.0,1067.0,1259.0
2021-02-14,1174.0,1068.0,1273.0
2021-02-15,1148.0,1044.0,1250.0
2021-02-16,1114.0,1012.0,1216.0
2021-02-17,1164.0,1060.0,1269.0
2021-02-18,1200.0,1093.0,1307.0
2021-02-19,1225.0,1126.0,1323.0
2021-02-20,1218.0,1114.0,1330.0
2021-02-21,1233.0,1130.0,1337.0
2021-02-22,1207.0,1108.0,1319.0
2021-02-23,1173.0,1061.0,1282.0
2021-02-24,1223.0,1122.0,1327.0
2021-02-25,1259.0,1148.0,1372.0
2021-02-26,1284.0,1169.0,1397.0
2021-02-27,1277.0,1168.0,1382.0
2021-02-28,1292.0,1187.0,1406.0
2021-03-01,1266.0,1156.0,1380.0
2021-03-02,1232.0,1120.0,1351.0
2021-03-03,1282.0,1160.0,1391.0
2021-03-04,1318.0,1199.0,1433.0
2021-03-05,1343.0,1233.0,1461.0
2021-03-06,1336.0,1231.0,1453.0
2021-03-07,1352.0,1237.0,1477.0
2021-03-08,1325.0,1211.0,1448.0
2021-03-09,1291.0,1182.0,1413.0
2021-03-10,1341.0,1227.0,1458.0
2021-03-11,1377.0,1249.0,1501.0
2021-03-12,1403.0,1280.0,1521.0
2021-03-13,1395.0,1272.0,1518.0
2021-03-14,1411.0,1285.0,1534.0
2021-03-15,1384.0,1256.0,1510.0
2021-03-16,1350.0,1223.0,1479.0
2021-03-17,1400.0,1278.0,1529.0
2021-03-18,1436.0,1312.0,1571.0
2021-03-19,1462.0,1332.0,1589.0
2021-03-20,1454.0,1320.0,1591.0
2021-03-21,1470.0,1339.0,1606.0
2021-03-22,1443.0,1305.0,1582.0
2021-03-23,1409.0,1276.0,1549.0
2021-03-24,1459.0,1329.0,1603.0
2021-03-25,1496.0,1360.0,1627.0
2021-03-26,1521.0,1382.0,1661.0
2021-03-27,1514.0,1374.0,1648.0
2021-03-28,1529.0,1392.0,1667.0
2021-03-29,1502.0,1359.0,1645.0
2021-03-30,1468.0,1330.0,1612.0
2021-03-31,1518.0,1378.0,1672.0
2021-04-01,1555.0,1420.0,1703.0
2021-04-02,1580.0,1428.0,1729.0
2021-04-03,1573.0,1422.0,1721.0
2021-04-04,1588.0,1444.0,1738.0
2021-04-05,1562.0,1420.0,1722.0
2021-04-06,1528.0,1377.0,1678.0
2021-04-07,1578.0,1429.0,1744.0
2021-04-08,1614.0,1460.0,1767.0
2021-04-09,1639.0,1478.0,1806.0
2021-04-10,1632.0,1463.0,1796.0
2021-04-11,1647.0,1502.0,1803.0
2021-04-12,1621.0,1467.0,1786.0
2021-04-13,1587.0,1433.0,1750.0
2021-04-14,1637.0,1477.0,1802.0
2021-04-15,1673.0,1510.0,1836.0
2021-04-16,1698.0,1540.0,1874.0
2021-04-17,1691.0,1529.0,1872.0
2021-04-18,1706.0,1539.0,1875.0
2021-04-19,1680.0,1507.0,1850.0
2021-04-20,1646.0,1480.0,1822.0
2021-04-21,1696.0,1521.0,1875.0
2021-04-22,1732.0,1561.0,1897.0
2021-04-23,1757.0,1585.0,1936.0
2021-04-24,1750.0,1569.0,1934.0
2021-04-25,1766.0,1584.0,1953.0
2021-04-26,1739.0,1571.0,1927.0
2021-04-27,1705.0,1527.0,1888.0
2021-04-28,1755.0,1571.0,1939.0
2021-04-29,1791.0,1608.0,1986.0
2021-04-30,1817.0,1629.0,2002.0
2021-05-01,1809.0,1617.0,2008.0
2021-05-02,1825.0,1639.0,2020.0
2021-05-03,1798.0,1607.0,1995.0
